12 1 1 55927.00 I  0.118763 0.000032  0.263257 0.000030  I-0.4190198 0.0000056  1.3016 0.0030  I     0.378    0.119    -0.086    0.077  0.118700  0.263209 -0.4190307     0.520    -0.064  
12 1 2 55928.00 I  0.117388 0.000031  0.262453 0.000032  I-0.4202632 0.0000041  1.1904 0.0036  I     0.365    0.052    -0.071    0.040  0.117478  0.262407 -0.4202660     0.506    -0.044  
12 1 3 55929.00 I  0.115948 0.000024  0.261629 0.000026  I-0.4213964 0.0000045  1.0664 0.0027  I     0.355    0.057    -0.056    0.017  0.115947  0.261649 -0.4213914     0.487    -0.035  
12 1 4 55930.00 I  0.114535 0.000023  0.260705 0.000027  I-0.4223926 0.0000034  0.9320 0.0029  I     0.348    0.057    -0.065    0.027  0.114546  0.260620 -0.4223894     0.464    -0.036  
12 1 5 55931.00 I  0.113232 0.000027  0.260205 0.000025  I-0.4232705 0.0000038  0.8278 0.0029  I     0.344    0.057    -0.102    0.027  0.113261  0.260200 -0.4232747     0.424    -0.073  
12 1 6 55932.00 I  0.111392 0.000026  0.259986 0.000025  I-0.4240541 0.0000046  0.7414 0.0034  I     0.332    0.047    -0.160    0.038  0.111438  0.259932 -0.4240546     0.381    -0.125  
12 1 7 55933.00 I  0.108882 0.000023  0.259654 0.000025  I-0.4247770 0.0000057  0.7261 0.0038  I     0.300    0.047    -0.181    0.038  0.108883  0.259664 -0.4247816     0.348    -0.141  
12 1 8 55934.00 I  0.106430 0.000025  0.258925 0.000024  I-0.4255331 0.0000060  0.7913 0.0042  I     0.276    0.053    -0.198    0.053  0.106429  0.258874 -0.4255338     0.325    -0.147  
12 1 9 55935.00 I  0.104166 0.000025  0.258103 0.000025  I-0.4263634 0.0000061  0.8678 0.0045  I     0.259    0.053    -0.225    0.053  0.104225  0.258041 -0.4263648     0.308    -0.153  
12 110 55936.00 I  0.101777 0.000020  0.257223 0.000023  I-0.4272844 0.0000067  0.9915 0.0041  I     0.243    0.119    -0.246    0.049  0.101787  0.257252 -0.4272859     0.299    -0.161  
12 111 55937.00 I  0.099761 0.000022  0.256065 0.000023  I-0.4283596 0.0000054  1.1549 0.0042  I     0.228    0.119    -0.250    0.055  0.099783  0.256002 -0.4283517     0.296    -0.196  
12 112 55938.00 I  0.098364 0.000021  0.255083 0.000020  I-0.4295961 0.0000050  1.3241 0.0037  I     0.219    0.119    -0.250    0.055  0.098374  0.255057 -0.4295936     0.299    -0.236  
12 113 55939.00 I  0.097294 0.000022  0.254525 0.000020  I-0.4310044 0.0000052  1.4831 0.0042  I     0.215    0.119    -0.261    0.055  0.097330  0.254481 -0.4310036     0.308    -0.272  
12 114 55940.00 I  0.096118 0.000018  0.254355 0.000016  I-0.4325210 0.0000067  1.5181 0.0042  I     0.222    0.119    -0.271    0.082  0.096133  0.254325 -0.4325201     0.307    -0.270  
12 115 55941.00 I  0.094894 0.000019  0.254397 0.000016  I-0.4340075 0.0000065  1.4539 0.0042  I     0.217    0.119    -0.278    0.082  0.094902  0.254379 -0.4340233     0.303    -0.252  
12 116 55942.00 I  0.093527 0.000020  0.254601 0.000020  I-0.4354132 0.0000050  1.3428 0.0043  I     0.217    0.119    -0.289    0.082  0.093576  0.254528 -0.4354233     0.298    -0.223  
12 117 55943.00 I  0.091692 0.000014  0.254896 0.000019  I-0.4366697 0.0000057  1.1614 0.0035  I     0.225    0.119    -0.308    0.085  0.091710  0.254906 -0.4366664     0.295    -0.201  
12 118 55944.00 I  0.089541 0.000023  0.254848 0.000025  I-0.4377243 0.0000049  0.9448 0.0036  I     0.240    0.080    -0.319    0.075  0.089569  0.254798 -0.4377220     0.292    -0.183  
12 119 55945.00 I  0.087377 0.000023  0.254464 0.000032  I-0.4385780 0.0000043  0.7842 0.0037  I     0.253    0.080    -0.308    0.075  0.087373  0.254461 -0.4385853     0.356    -0.209  
12 120 55946.00 I  0.085415 0.000025  0.254281 0.000035  I-0.4393155 0.0000055  0.6920 0.0035  I     0.254    0.078    -0.298    0.071  0.085428  0.254180 -0.4393168     0.431    -0.250  
12 121 55947.00 I  0.083178 0.000027  0.254642 0.000035  I-0.4400007 0.0000054  0.7160 0.0043  I     0.236    0.079    -0.314    0.061  0.083249  0.254651 -0.4400245     0.439    -0.289  
12 122 55948.00 I  0.080668 0.000036  0.254940 0.000038  I-0.4407855 0.0000066  0.8542 0.0037  I     0.219    0.120    -0.348    0.099  0.080627  0.254924 -0.4408023     0.401    -0.323  
12 123 55949.00 I  0.078560 0.000035  0.255162 0.000038  I-0.4416988 0.0000052  0.9617 0.0045  I     0.213    0.120    -0.363    0.099  0.078598  0.255078 -0.4416951     0.353    -0.351  
12 124 55950.00 I  0.076500 0.000029  0.255608 0.000034  I-0.4427038 0.0000061  1.0538 0.0037  I     0.222    0.055    -0.352    0.138  0.076541  0.255624 -0.4427049     0.302    -0.373  
12 125 55951.00 I  0.074224 0.000030  0.255882 0.000031  I-0.4437950 0.0000052  1.1116 0.0036  I     0.238    0.073    -0.327    0.111  0.074227  0.255806 -0.4437962     0.253    -0.351  
12 126 55952.00 I  0.071865 0.000029  0.256094 0.000028  I-0.4449104 0.0000039  1.1197 0.0032  I     0.249    0.073    -0.299    0.111  0.071900  0.256092 -0.4449204     0.212    -0.312  
12 127 55953.00 I  0.069341 0.000027  0.256203 0.000028  I-0.4460237 0.0000039  1.0956 0.0028  I     0.256    0.073    -0.276    0.111  0.069358  0.256156 -0.4460334     0.181    -0.266  
12 128 55954.00 I  0.066754 0.000011  0.256256 0.000022  I-0.4470718 0.0000039  0.9820 0.0032  I     0.346    0.102    -0.255    0.023  0.066770  0.256221 -0.4470732     0.207    -0.237  
12 129 55955.00 I  0.064275 0.000020  0.256217 0.000023  I-0.4479821 0.0000050  0.8515 0.0028  I     0.355    0.051    -0.250    0.028  0.064294  0.256203 -0.4479982     0.260    -0.216  
12 130 55956.00 I  0.061798 0.000020  0.256028 0.000022  I-0.4487852 0.0000041  0.7520 0.0038  I     0.363    0.051    -0.242    0.028  0.061824  0.255972 -0.4487993     0.316    -0.195  
12 131 55957.00 I  0.059265 0.000019  0.255837 0.000017  I-0.4494654 0.0000057  0.5902 0.0029  I     0.374    0.119    -0.223    0.030  0.059292  0.255822 -0.4494656     0.376    -0.179  
12 2 1 55958.00 I  0.056872 0.000022  0.255573 0.000018  I-0.4499689 0.0000042  0.4384 0.0037  I     0.386    0.119    -0.214    0.063  0.056906  0.255521 -0.4499897     0.404    -0.155  
12 2 2 55959.00 I  0.054719 0.000022  0.255271 0.000017  I-0.4503843 0.0000047  0.4131 0.0040  I     0.391    0.119    -0.228    0.063  0.054725  0.255253 -0.4504155     0.416    -0.138  
12 2 3 55960.00 I  0.052991 0.000023  0.254855 0.000017  I-0.4508117 0.0000067  0.4378 0.0046  I     0.384    0.119    -0.250    0.063  0.052998  0.254824 -0.4508189     0.416    -0.134  
12 2 4 55961.00 I  0.051346 0.000016  0.254406 0.000014  I-0.4512588 0.0000079  0.4592 0.0047  I     0.365    0.042    -0.262    0.087  0.051408  0.254365 -0.4512567     0.404    -0.161  
